station,region,horizon_date,month_horizon,forecast,actual,forecast_minmax,actual_minmax,forecast_indexed,actual_indexed,schd_file_id,model_version
STATION_A,west,2026-01-01,1,63127773,60104882,0.2625,0.2277,100,95.21,wf_2025_49,bundle_015
STATION_A,west,2026-02-01,1,55586282,55070465,0.1758,0.1699,88.05,87.24,wf_2026_02,bundle_016
STATION_A,west,2026-03-01,1,63113867,63612838,0.2623,0.2681,99.98,100.77,wf_2026_06,bundle_017
STATION_A,west,2026-04-01,1,54793146,56260585,0.1667,0.1835,86.8,89.12,wf_2026_10,bundle_018
STATION_A,west,2026-05-01,1,59694005,60069292,0.223,0.2273,94.56,95.16,wf_2026_15,bundle_019
STATION_A,west,2026-06-01,1,59373461,48993805,0.2193,0.1,94.05,77.61,wf_2026_19,bundle_020
STATION_A,west,2026-01-01,2,55629860,60104882,0.1763,0.2277,88.12,95.21,wf_2025_49,bundle_015
STATION_A,west,2026-02-01,2,63397823,55070465,0.2656,0.1699,100.43,87.24,wf_2026_02,bundle_016
STATION_A,west,2026-03-01,2,55316194,63612838,0.1727,0.2681,87.63,100.77,wf_2026_06,bundle_017
STATION_A,west,2026-04-01,2,61687083,56260585,0.2459,0.1835,97.72,89.12,wf_2026_10,bundle_018
STATION_A,west,2026-05-01,2,59850070,60069292,0.2248,0.2273,94.81,95.16,wf_2026_15,bundle_019
STATION_A,west,2026-06-01,2,60395824,48993805,0.2311,0.1,95.67,77.61,wf_2026_19,bundle_020
STATION_A,west,2026-01-01,3,63051234,60104882,0.2616,0.2277,99.88,95.21,wf_2025_49,bundle_015
STATION_A,west,2026-02-01,3,55318643,55070465,0.1727,0.1699,87.63,87.24,wf_2026_02,bundle_016
STATION_A,west,2026-03-01,3,61288365,63612838,0.2413,0.2681,97.09,100.77,wf_2026_06,bundle_017
STATION_A,west,2026-04-01,3,60922796,56260585,0.2371,0.1835,96.51,89.12,wf_2026_10,bundle_018
STATION_A,west,2026-05-01,3,63625079,60069292,0.2682,0.2273,100.79,95.16,wf_2026_15,bundle_019
STATION_A,west,2026-06-01,3,61080880,48993805,0.239,0.1,96.76,77.61,wf_2026_19,bundle_020
STATION_B,east,2026-01-01,1,107049547,100709893,0.7674,0.6945,100,94.08,wf_2025_49,bundle_015
STATION_B,east,2026-02-01,1,97507389,95303573,0.6577,0.6324,91.09,89.03,wf_2026_02,bundle_016
STATION_B,east,2026-03-01,1,114225766,109514595,0.8499,0.7958,106.7,102.3,wf_2026_06,bundle_017
STATION_B,east,2026-04-01,1,104291974,104563105,0.7357,0.7388,97.42,97.68,wf_2026_10,bundle_018
STATION_B,east,2026-05-01,1,109036237,116088530,0.7903,0.8713,101.86,108.44,wf_2026_15,bundle_019
STATION_B,east,2026-06-01,1,117348736,101532451,0.8858,0.704,109.62,94.85,wf_2026_19,bundle_020
STATION_B,east,2026-01-01,2,97376600,100709893,0.6562,0.6945,90.96,94.08,wf_2025_49,bundle_015
STATION_B,east,2026-02-01,2,115164953,95303573,0.8607,0.6324,107.58,89.03,wf_2026_02,bundle_016
STATION_B,east,2026-03-01,2,109696713,109514595,0.7979,0.7958,102.47,102.3,wf_2026_06,bundle_017
STATION_B,east,2026-04-01,2,114762191,104563105,0.8561,0.7388,107.2,97.68,wf_2026_10,bundle_018
STATION_B,east,2026-05-01,2,118572786,116088530,0.8999,0.8713,110.76,108.44,wf_2026_15,bundle_019
STATION_B,east,2026-06-01,2,125229154,101532451,0.9764,0.704,116.98,94.85,wf_2026_19,bundle_020
STATION_B,east,2026-01-01,3,114151618,100709893,0.8491,0.6945,106.63,94.08,wf_2025_49,bundle_015
STATION_B,east,2026-02-01,3,110199225,95303573,0.8036,0.6324,102.94,89.03,wf_2026_02,bundle_016
STATION_B,east,2026-03-01,3,113247037,109514595,0.8387,0.7958,105.79,102.3,wf_2026_06,bundle_017
STATION_B,east,2026-04-01,3,123158843,104563105,0.9526,0.7388,115.05,97.68,wf_2026_10,bundle_018
STATION_B,east,2026-05-01,3,127279560,116088530,1,0.8713,118.9,108.44,wf_2026_15,bundle_019
STATION_B,east,2026-06-01,3,125647577,101532451,0.9812,0.704,117.37,94.85,wf_2026_19,bundle_020
