station,region,horizon_date,month_horizon,forecast_minmax,actual_minmax,forecast_indexed,actual_indexed,schd_file_id,model_version
STATION_A,west,2026-01-01,1,0.2625,0.2277,100,95.21,wf_2025_49,bundle_015
STATION_A,west,2026-02-01,1,0.1758,0.1699,88.05,87.24,wf_2026_02,bundle_016
STATION_A,west,2026-03-01,1,0.2623,0.2681,99.98,100.77,wf_2026_06,bundle_017
STATION_A,west,2026-04-01,1,0.1667,0.1835,86.8,89.12,wf_2026_10,bundle_018
STATION_A,west,2026-05-01,1,0.223,0.2273,94.56,95.16,wf_2026_15,bundle_019
STATION_A,west,2026-06-01,1,0.2193,0.1,94.05,77.61,wf_2026_19,bundle_020
STATION_A,west,2026-01-01,2,0.1763,0.2277,88.12,95.21,wf_2025_49,bundle_015
STATION_A,west,2026-02-01,2,0.2656,0.1699,100.43,87.24,wf_2026_02,bundle_016
STATION_A,west,2026-03-01,2,0.1727,0.2681,87.63,100.77,wf_2026_06,bundle_017
STATION_A,west,2026-04-01,2,0.2459,0.1835,97.72,89.12,wf_2026_10,bundle_018
STATION_A,west,2026-05-01,2,0.2248,0.2273,94.81,95.16,wf_2026_15,bundle_019
STATION_A,west,2026-06-01,2,0.2311,0.1,95.67,77.61,wf_2026_19,bundle_020
STATION_A,west,2026-01-01,3,0.2616,0.2277,99.88,95.21,wf_2025_49,bundle_015
STATION_A,west,2026-02-01,3,0.1727,0.1699,87.63,87.24,wf_2026_02,bundle_016
STATION_A,west,2026-03-01,3,0.2413,0.2681,97.09,100.77,wf_2026_06,bundle_017
STATION_A,west,2026-04-01,3,0.2371,0.1835,96.51,89.12,wf_2026_10,bundle_018
STATION_A,west,2026-05-01,3,0.2682,0.2273,100.79,95.16,wf_2026_15,bundle_019
STATION_A,west,2026-06-01,3,0.239,0.1,96.76,77.61,wf_2026_19,bundle_020
STATION_B,east,2026-01-01,1,0.7674,0.6945,100,94.08,wf_2025_49,bundle_015
STATION_B,east,2026-02-01,1,0.6577,0.6324,91.09,89.03,wf_2026_02,bundle_016
STATION_B,east,2026-03-01,1,0.8499,0.7958,106.7,102.3,wf_2026_06,bundle_017
STATION_B,east,2026-04-01,1,0.7357,0.7388,97.42,97.68,wf_2026_10,bundle_018
STATION_B,east,2026-05-01,1,0.7903,0.8713,101.86,108.44,wf_2026_15,bundle_019
STATION_B,east,2026-06-01,1,0.8858,0.704,109.62,94.85,wf_2026_19,bundle_020
STATION_B,east,2026-01-01,2,0.6562,0.6945,90.96,94.08,wf_2025_49,bundle_015
STATION_B,east,2026-02-01,2,0.8607,0.6324,107.58,89.03,wf_2026_02,bundle_016
STATION_B,east,2026-03-01,2,0.7979,0.7958,102.47,102.3,wf_2026_06,bundle_017
STATION_B,east,2026-04-01,2,0.8561,0.7388,107.2,97.68,wf_2026_10,bundle_018
STATION_B,east,2026-05-01,2,0.8999,0.8713,110.76,108.44,wf_2026_15,bundle_019
STATION_B,east,2026-06-01,2,0.9764,0.704,116.98,94.85,wf_2026_19,bundle_020
STATION_B,east,2026-01-01,3,0.8491,0.6945,106.63,94.08,wf_2025_49,bundle_015
STATION_B,east,2026-02-01,3,0.8036,0.6324,102.94,89.03,wf_2026_02,bundle_016
STATION_B,east,2026-03-01,3,0.8387,0.7958,105.79,102.3,wf_2026_06,bundle_017
STATION_B,east,2026-04-01,3,0.9526,0.7388,115.05,97.68,wf_2026_10,bundle_018
STATION_B,east,2026-05-01,3,1,0.8713,118.9,108.44,wf_2026_15,bundle_019
STATION_B,east,2026-06-01,3,0.9812,0.704,117.37,94.85,wf_2026_19,bundle_020
